======== 12:40-13:00 window excerpts (backend.log.1 + backend.log) ========
-- backend.log.1 --
2026-07-19 12:41:58 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2753.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:42:03 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2759.454688, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:42:08 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2763.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:42:13 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2768.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:42:18 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2776.121354, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:42:23 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2778.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:42:28 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2784.454688, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:42:33 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2792.788021, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:42:38 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2793.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:42:43 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2801.121354, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:42:48 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2803.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:42:53 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2809.454688, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:42:58 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2813.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:43:03 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2818.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:43:08 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2826.121354, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:43:13 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2828.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
-- backend.log --
